u	v	score
ENSG00000004468	ENSG00000167208	0.7588894321528817
ENSG00000004468	ENSG00000168081	0.7055080001158599
ENSG00000004468	ENSG00000172578	0.7551554959036961
ENSG00000004468	ENSG00000177272	0.7419194797011692
ENSG00000004468	ENSG00000177807	0.7256738165314278
ENSG00000004468	ENSG00000180644	0.7859384082187678
ENSG00000004468	ENSG00000181847	0.7446758048105445
ENSG00000004468	ENSG00000183918	0.7102662951827451
ENSG00000004468	ENSG00000185811	0.7000886650628126
ENSG00000004468	ENSG00000186810	0.7174644822445033
ENSG00000004468	ENSG00000188389	0.7436846441484427
ENSG00000004468	ENSG00000189430	0.744200732353463
ENSG00000004468	ENSG00000197646	0.7298784313736122
ENSG00000004468	ENSG00000239713	0.7327044495126577
ENSG00000004700	ENSG00000111711	0.7382749083614792
ENSG00000004776	ENSG00000022267	0.7340237601419866
ENSG00000004776	ENSG00000079435	0.712911049602453
ENSG00000004776	ENSG00000120049	0.7380518141945163
ENSG00000004776	ENSG00000149124	0.7015648444565316
ENSG00000004776	ENSG00000166819	0.7367312930614283
ENSG00000004776	ENSG00000167588	0.7245458592125639
ENSG00000004776	ENSG00000169418	0.7163976753037773
ENSG00000004776	ENSG00000187288	0.7370021116678952
ENSG00000004779	ENSG00000140990	0.7008275882432706
ENSG00000004838	ENSG00000092850	0.7530539179987737
ENSG00000004838	ENSG00000101222	0.7822005830683395
ENSG00000004838	ENSG00000137098	0.7061342662322858
ENSG00000004838	ENSG00000141294	0.7248617733522629
ENSG00000004838	ENSG00000172361	0.7107078432930733
ENSG00000004866	ENSG00000009694	0.8087310477723045
ENSG00000004866	ENSG00000042832	0.8867468748060868
ENSG00000004866	ENSG00000091656	0.8680856608113043
ENSG00000004866	ENSG00000105976	0.8979788338776603
ENSG00000004866	ENSG00000106511	0.7714161502409806
ENSG00000004866	ENSG00000147481	0.8765581138722776
ENSG00000004866	ENSG00000149948	0.7585673611968414
ENSG00000004866	ENSG00000153233	0.8353741985145853
ENSG00000004866	ENSG00000165323	0.8954142560429841
ENSG00000004866	ENSG00000168267	0.8845906832056292
