u	v
ENSG00000122861	ENSG00000104368
ENSG00000126218	ENSG00000104368
ENSG00000065978	ENSG00000137203
ENSG00000188488	ENSG00000104368
ENSG00000104368	ENSG00000163536
ENSG00000149131	ENSG00000104368
ENSG00000196504	ENSG00000104852
ENSG00000139687	ENSG00000197632
ENSG00000122861	ENSG00000197632
ENSG00000139687	ENSG00000137203
ENSG00000126456	ENSG00000197632
ENSG00000122861	ENSG00000011422
ENSG00000109072	ENSG00000011422
ENSG00000113889	ENSG00000011422
ENSG00000078098	ENSG00000011422
ENSG00000120500	ENSG00000169403
ENSG00000141510	ENSG00000137203
ENSG00000259207	ENSG00000113721
ENSG00000134853	ENSG00000113721
ENSG00000055332	ENSG00000113721
ENSG00000179295	ENSG00000113721
ENSG00000196396	ENSG00000113721
ENSG00000100311	ENSG00000113721
ENSG00000158092	ENSG00000113721
ENSG00000160691	ENSG00000113721
ENSG00000149177	ENSG00000113721
ENSG00000028528	ENSG00000113721
ENSG00000115290	ENSG00000113721
ENSG00000122218	ENSG00000113721
ENSG00000170989	ENSG00000113721
ENSG00000071051	ENSG00000113721
ENSG00000109062	ENSG00000113721
ENSG00000205302	ENSG00000113721
ENSG00000114520	ENSG00000113721
ENSG00000134853	ENSG00000197461
ENSG00000179295	ENSG00000261371
ENSG00000111679	ENSG00000261371
ENSG00000197122	ENSG00000261371
ENSG00000281614	ENSG00000261371
ENSG00000115718	ENSG00000163737
ENSG00000178726	ENSG00000163737
ENSG00000186810	ENSG00000163737
ENSG00000130164	ENSG00000163737
ENSG00000087842	ENSG00000120693
ENSG00000134853	ENSG00000259207
ENSG00000135218	ENSG00000259207
ENSG00000137076	ENSG00000259207
ENSG00000137801	ENSG00000259207
ENSG00000138448	ENSG00000259207
ENSG00000169398	ENSG00000259207
ENSG00000120899	ENSG00000259207
ENSG00000166333	ENSG00000259207
ENSG00000115325	ENSG00000259207
ENSG00000100393	ENSG00000137203
ENSG00000005961	ENSG00000259207
ENSG00000142856	ENSG00000259207
ENSG00000179295	ENSG00000134853
ENSG00000100311	ENSG00000134853
ENSG00000164442	ENSG00000137203
ENSG00000105974	ENSG00000134853
ENSG00000099942	ENSG00000134853
ENSG00000109062	ENSG00000134853
ENSG00000205302	ENSG00000134853
ENSG00000114520	ENSG00000134853
ENSG00000145431	ENSG00000134853
ENSG00000129515	ENSG00000134853
ENSG00000137801	ENSG00000135218
ENSG00000007264	ENSG00000135218
ENSG00000005961	ENSG00000135218
ENSG00000185245	ENSG00000178732
ENSG00000179862	ENSG00000137203
ENSG00000185245	ENSG00000169704
ENSG00000185245	ENSG00000174175
ENSG00000272398	ENSG00000174175
ENSG00000110876	ENSG00000174175
ENSG00000174175	ENSG00000072958
ENSG00000115234	ENSG00000174175
ENSG00000149131	ENSG00000174175
ENSG00000109072	ENSG00000073008
ENSG00000129354	ENSG00000073008
ENSG00000150637	ENSG00000073008
ENSG00000132646	ENSG00000143799
ENSG00000145425	ENSG00000143799
ENSG00000141510	ENSG00000143799
ENSG00000073050	ENSG00000143799
ENSG00000115524	ENSG00000163877
ENSG00000101868	ENSG00000143799
ENSG00000253729	ENSG00000143799
ENSG00000101057	ENSG00000143799
ENSG00000154473	ENSG00000143799
ENSG00000102935	ENSG00000143799
ENSG00000165392	ENSG00000143799
ENSG00000198646	ENSG00000143799
ENSG00000137074	ENSG00000143799
ENSG00000129484	ENSG00000143799
ENSG00000239306	ENSG00000143799
ENSG00000169213	ENSG00000162896
ENSG00000174106	ENSG00000120693
ENSG00000008710	ENSG00000118762
ENSG00000131504	ENSG00000118762
ENSG00000198087	ENSG00000118762
ENSG00000129991	ENSG00000118762
ENSG00000144935	ENSG00000118762
ENSG00000213923	ENSG00000134982
ENSG00000066027	ENSG00000134982
ENSG00000075945	ENSG00000134982
ENSG00000196470	ENSG00000134982
ENSG00000100979	ENSG00000158874
ENSG00000169679	ENSG00000134982
ENSG00000101367	ENSG00000134982
ENSG00000136002	ENSG00000134982
ENSG00000170579	ENSG00000134982
ENSG00000053918	ENSG00000180509
ENSG00000182255	ENSG00000177301
ENSG00000132670	ENSG00000177301
ENSG00000169282	ENSG00000177301
ENSG00000069424	ENSG00000177301
ENSG00000120899	ENSG00000177301
ENSG00000130037	ENSG00000177301
ENSG00000177272	ENSG00000177301
ENSG00000065559	ENSG00000128591
ENSG00000112293	ENSG00000110244
